source_qualified_name,source_name,source_type,relationship,target_qualified_name,target_name,target_type
CAP-DG,Data Governance,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-DG,Data Governance,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-LIN,Data Lineage,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-LIN,Data Lineage,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-DQ,Data Quality,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-DQ,Data Quality,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-INFORMATICA,Informatica,Technology
CAP-MDM,Metadata & Catalog,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-MDM,Metadata & Catalog,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-COLLIBRA,Collibra,Technology
CAP-PII,PII Protection,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-PII,PII Protection,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CAP-RET,Data Retention,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-RET,Data Retention,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-POLICY,Azure Policy,Technology
CAP-AC,Access Control,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CAP-AUD,Auditability & Evidence,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-AUD,Auditability & Evidence,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-REP,Regulatory Reporting,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-MRM,Model Risk Management,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CAP-MRM,Model Risk Management,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-AIG,AI Governance,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CAP-AIG,AI Governance,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-TDQ,Training Data Quality,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-TDQ,Training Data Quality,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CAP-TRACE,Traceability & Explainability,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CAP-TRACE,Traceability & Explainability,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CAP-RES,Operational Resilience,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CAP-RES,Operational Resilience,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CAP-INC,Incident Management,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CAP-INC,Incident Management,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CAP-TPR,Third-Party / ICT Dependency,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-SERVICENOW,ServiceNow,Technology
CAP-CYBER,Cyber Security,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CAP-CYBER,Cyber Security,Capability,CAPABILITY_ENABLED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
