ID,Obligation_ID,Change_ID,Control_ID,Severity,Maturity_Shortfall,Rationale,Affected_System_IDs,Affected_Process_IDs,Affected_Product_IDs,Affected_Data_Domain_IDs,As_Of
GAP-OBL-CHG-EUAIACT-UPLOAD-01-CTL-DQ-1,OBL-CHG-EUAIACT-UPLOAD-01,CHG-EUAIACT-UPLOAD,CTL-DQ-1,Medium,2,"Control 'Data Quality Rules & Monitoring' is at maturity 1 (Partially Implemented) vs target 3 required by the obligation. Supporting evidence is also Partial, Stale.",SYS-LAKE,PR-REGRPT;PR-DATAGOV;PR-AILIFE,PRD-MORT;PRD-PLOAN,DD-REF;DD-FIN,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-01-CTL-DQ-2,OBL-CHG-EUAIACT-UPLOAD-01,CHG-EUAIACT-UPLOAD,CTL-DQ-2,Low,1,"Control 'Critical Data Element Catalog' is at maturity 2 (Partially Implemented) vs target 3 required by the obligation. Supporting evidence is also Partial, Stale.",SYS-LAKE,PR-REGRPT;PR-DATAGOV;PR-AILIFE,PRD-MORT;PRD-PLOAN,DD-REF;DD-FIN,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-02-CTL-LIN-1,OBL-CHG-EUAIACT-UPLOAD-02,CHG-EUAIACT-UPLOAD,CTL-LIN-1,Low,1,Control 'End-to-End Data Lineage' is at maturity 2 (Partially Implemented) vs target 3 required by the obligation. Supporting evidence is also Missing.,SYS-LAKE;SYS-REGRPT,PR-TRADING;PR-REGRPT;PR-DATAGOV;PR-AILIFE,PRD-DERIV;PRD-FX;PRD-MORT;PRD-PLOAN,DD-FIN;DD-CREDIT;DD-TRADE,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-02-CTL-LIN-2,OBL-CHG-EUAIACT-UPLOAD-02,CHG-EUAIACT-UPLOAD,CTL-LIN-2,Medium,2,Control 'Reconciliation & Aggregation Controls' is at maturity 1 (Partially Implemented) vs target 3 required by the obligation. Supporting evidence is also Missing.,SYS-REGRPT;SYS-GL,PR-TRADING;PR-REGRPT,PRD-DERIV;PRD-FX,DD-FIN;DD-CREDIT;DD-TRADE,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-03-CTL-TR-1,OBL-CHG-EUAIACT-UPLOAD-03,CHG-EUAIACT-UPLOAD,CTL-TR-1,High,3,Control 'Decision Logging & Traceability' is at maturity 0 (Planned) vs target 3 required by the obligation. Supporting evidence is also Missing.,SYS-AIP;SYS-LAKE,PR-LENDING;PR-REGRPT;PR-DATAGOV;PR-AILIFE,PRD-BLOAN;PRD-MORT;PRD-PLOAN,DD-MODEL,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-03-CTL-TR-2,OBL-CHG-EUAIACT-UPLOAD-03,CHG-EUAIACT-UPLOAD,CTL-TR-2,Medium,2,Control 'Model Explainability Reporting' is at maturity 1 (Partially Implemented) vs target 3 required by the obligation. Supporting evidence is also Missing.,SYS-AIP,PR-LENDING;PR-AILIFE,PRD-BLOAN;PRD-MORT;PRD-PLOAN,DD-MODEL,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-04-CTL-AI-1-EV,OBL-CHG-EUAIACT-UPLOAD-04,CHG-EUAIACT-UPLOAD,CTL-AI-1,Low,0,"Control 'AI System Risk Classification' meets target maturity 3, but 1 evidence artefact(s) are Stale; compliance cannot be demonstrated to the regulator.",SYS-AIP,PR-LENDING;PR-AILIFE,PRD-BLOAN;PRD-MORT;PRD-PLOAN,DD-MODEL,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-04-CTL-AI-2-EV,OBL-CHG-EUAIACT-UPLOAD-04,CHG-EUAIACT-UPLOAD,CTL-AI-2,Low,0,"Control 'Human Oversight & Approval' meets target maturity 3, but 1 evidence artefact(s) are Partial; compliance cannot be demonstrated to the regulator.",SYS-AIP,PR-LENDING;PR-AILIFE,PRD-BLOAN;PRD-MORT;PRD-PLOAN,DD-MODEL,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-04-CTL-AI-3,OBL-CHG-EUAIACT-UPLOAD-04,CHG-EUAIACT-UPLOAD,CTL-AI-3,High,3,Control 'Bias & Fairness Testing' is at maturity 0 (Planned) vs target 3 required by the obligation. Supporting evidence is also Missing.,SYS-AIP;SYS-LAKE,PR-LENDING;PR-REGRPT;PR-DATAGOV;PR-AILIFE,PRD-BLOAN;PRD-MORT;PRD-PLOAN,DD-MODEL,2026-06-25
GAP-OBL-CHG-EUAIACT-UPLOAD-05-CTL-MR-1,OBL-CHG-EUAIACT-UPLOAD-05,CHG-EUAIACT-UPLOAD,CTL-MR-1,Low,1,Control 'Model Inventory & Versioning' is at maturity 2 (Partially Implemented) vs target 3 required by the obligation. Supporting evidence is also Missing.,SYS-AIP,PR-LENDING;PR-AILIFE,PRD-BLOAN;PRD-MORT;PRD-PLOAN,DD-MODEL;DD-CREDIT,2026-06-25
