ID,Change_ID,Regulation_ID,Statement,Article,Theme,Criticality,Target_Maturity,As_Of
OBL-EUAIACT-01,CHG-EUAIACT,REG-AIACT,"Ensure high-risk AI training, validation and testing data sets are relevant, representative and subject to data governance.",Art. 10,TRAINING_DATA,Critical,4,2026-07-24
OBL-EUAIACT-02,CHG-EUAIACT,REG-AIACT,Maintain documented provenance and lineage of data used to train high-risk AI systems.,Art. 10,DATA_LINEAGE,High,4,2026-07-24
OBL-EUAIACT-03,CHG-EUAIACT,REG-AIACT,Automatically record events over the lifetime of high-risk AI systems to ensure traceability.,Art. 12,TRACEABILITY,High,4,2026-07-24
OBL-EUAIACT-04,CHG-EUAIACT,REG-AIACT,Provide effective human oversight of high-risk AI systems during their use.,Art. 14,AI_GOVERNANCE,Critical,4,2026-07-24
OBL-EUAIACT-05,CHG-EUAIACT,REG-AIACT,"Ensure accuracy, robustness and cybersecurity of high-risk AI systems and monitor performance.",Art. 15,MODEL_RISK,High,4,2026-07-24
OBL-NISTAIRMF-01,CHG-NISTAIRMF,REG-NIST,"Establish AI governance structures, policies and accountability for AI risk.",GOVERN,AI_GOVERNANCE,High,4,2026-07-24
OBL-NISTAIRMF-02,CHG-NISTAIRMF,REG-NIST,"Measure AI system performance, robustness and trustworthiness over time.",MEASURE,MODEL_RISK,High,4,2026-07-24
OBL-NISTAIRMF-03,CHG-NISTAIRMF,REG-NIST,Document and trace AI system decisions to support contestability and oversight.,MANAGE,TRACEABILITY,Medium,3,2026-07-24
OBL-DORA-01,CHG-DORA,REG-DORA,Maintain a documented ICT risk management framework with mapped important business services and impact tolerances.,Art. 6,ICT_RESILIENCE,Critical,4,2026-07-24
OBL-DORA-02,CHG-DORA,REG-DORA,"Detect, manage and classify ICT-related incidents and report major incidents to regulators within mandated timeframes.",Art. 17,INCIDENT_MGMT,Critical,4,2026-07-24
OBL-DORA-03,CHG-DORA,REG-DORA,Perform advanced digital operational resilience testing including threat-led penetration testing.,Art. 24,ICT_SECURITY,High,4,2026-07-24
OBL-DORA-04,CHG-DORA,REG-DORA,Maintain a register of ICT third-party providers and document exit strategies for critical providers.,Art. 28,THIRD_PARTY_RISK,High,3,2026-07-24
OBL-BASEL-01,CHG-BASEL,REG-BASEL,Calculate risk-weighted assets under the revised approaches and maintain required capital ratios.,CRR Art. 92,CAPITAL_ADEQUACY,Critical,4,2026-07-24
OBL-BASEL-02,CHG-BASEL,REG-BASEL,Ensure data feeding capital calculations meets defined data quality thresholds.,CRR Art. 174,DATA_QUALITY,High,3,2026-07-24
