ID,Name,Control_Family,Capability_ID,Description,Status,Maturity,Owner_Unit_ID,As_Of
CTL-CDD-1,Identity Verification & KYC,Customer Due Diligence,CAP-FC,Identity Verification & KYC control within the Customer Due Diligence family.,Implemented,3,BU-RISK,2026-06-25
CTL-CDD-2,Beneficial Ownership Checks,Customer Due Diligence,CAP-FC,Beneficial Ownership Checks control within the Customer Due Diligence family.,Partially Implemented,2,BU-RISK,2026-06-25
CTL-CDD-3,Ongoing Customer Risk Rating,Customer Due Diligence,CAP-FC,Ongoing Customer Risk Rating control within the Customer Due Diligence family.,Implemented,4,BU-RISK,2026-06-25
CTL-SAN-1,Real-time Payment Screening,Sanctions Screening,CAP-SANCT,Real-time Payment Screening control within the Sanctions Screening family.,Partially Implemented,1,BU-RISK,2026-06-25
CTL-SAN-2,Watchlist Management,Sanctions Screening,CAP-SANCT,Watchlist Management control within the Sanctions Screening family.,Implemented,4,BU-RISK,2026-06-25
CTL-TM-1,Behavioural Monitoring Scenarios,Transaction Monitoring,CAP-FC,Behavioural Monitoring Scenarios control within the Transaction Monitoring family.,Planned,0,BU-RISK,2026-06-25
CTL-TM-2,Alert Triage & Investigation,Transaction Monitoring,CAP-FC,Alert Triage & Investigation control within the Transaction Monitoring family.,Implemented,3,BU-RISK,2026-06-25
CTL-TM-3,Suspicious Activity Reporting (SAR),Transaction Monitoring,CAP-FC,Suspicious Activity Reporting (SAR) control within the Transaction Monitoring family.,Partially Implemented,2,BU-RISK,2026-06-25
CTL-OR-1,Important Business Service Mapping,Operational Resilience,CAP-RES,Important Business Service Mapping control within the Operational Resilience family.,Partially Implemented,2,BU-OPS,2026-06-25
CTL-OR-2,Impact Tolerances & Scenario Testing,Operational Resilience,CAP-RES,Impact Tolerances & Scenario Testing control within the Operational Resilience family.,Partially Implemented,2,BU-OPS,2026-06-25
CTL-OR-3,ICT Continuity & Recovery,Operational Resilience,CAP-RES,ICT Continuity & Recovery control within the Operational Resilience family.,Partially Implemented,1,BU-OPS,2026-06-25
CTL-IC-1,ICT Incident Detection & Response,ICT Security & Incident Mgmt,CAP-INC,ICT Incident Detection & Response control within the ICT Security & Incident Mgmt family.,Partially Implemented,2,BU-TECH,2026-06-25
CTL-IC-2,Major Incident Regulatory Notification,ICT Security & Incident Mgmt,CAP-INC,Major Incident Regulatory Notification control within the ICT Security & Incident Mgmt family.,Partially Implemented,1,BU-TECH,2026-06-25
CTL-IC-3,Threat-Led Penetration Testing,ICT Security & Incident Mgmt,CAP-INC,Threat-Led Penetration Testing control within the ICT Security & Incident Mgmt family.,Partially Implemented,2,BU-TECH,2026-06-25
CTL-TP-1,Critical Provider Register,Third-Party / Outsourcing Risk,CAP-TPR,Critical Provider Register control within the Third-Party / Outsourcing Risk family.,Partially Implemented,1,BU-RISK,2026-06-25
CTL-TP-2,Concentration & Exit Strategy,Third-Party / Outsourcing Risk,CAP-TPR,Concentration & Exit Strategy control within the Third-Party / Outsourcing Risk family.,Partially Implemented,2,BU-RISK,2026-06-25
CTL-CY-1,Security Monitoring & SIEM,Cyber Security,CAP-CYBER,Security Monitoring & SIEM control within the Cyber Security family.,Partially Implemented,2,BU-TECH,2026-06-25
CTL-CY-2,Vulnerability Management,Cyber Security,CAP-CYBER,Vulnerability Management control within the Cyber Security family.,Partially Implemented,2,BU-TECH,2026-06-25
CTL-AC-1,Role-Based Access & Least Privilege,Access Control,CAP-AC,Role-Based Access & Least Privilege control within the Access Control family.,Implemented,5,BU-TECH,2026-06-25
CTL-AC-2,Privileged Access Reviews,Access Control,CAP-AC,Privileged Access Reviews control within the Access Control family.,Partially Implemented,1,BU-TECH,2026-06-25
CTL-CAP-1,RWA Calculation Engine,Capital & RWA,CAP-CAPITAL,RWA Calculation Engine control within the Capital & RWA family.,Implemented,5,BU-FIN,2026-06-25
CTL-CAP-2,Capital Adequacy Reporting,Capital & RWA,CAP-CAPITAL,Capital Adequacy Reporting control within the Capital & RWA family.,Implemented,5,BU-FIN,2026-06-25
